"SourceFile","SourceLine","SourceMethod","Disposition","VerificationClass","VerificationMethod","ReportScenario","Notes"
"Test_1_Component_2_PFM_JointFailures.vb","9","Test_1_Component_2_PFM_JointFailures_Independent_Average","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_BivariateRisk.vb","12","Test_Bivariate_Risk","BlockedMissingFeature","","","","Requires the future bivariate-risk model."
"Test_BivariateRisk.vb","85","Test_Bivariate_SRP","BlockedMissingFeature","","","","Requires the future bivariate-risk model."
"Test_Composite.vb","15","Test_Composite_Consequences","Covered","CompositeEngineVerification","Test_CompositeConsequence_EngineVsIndependentQuadrature","","Engine-level source configuration verified against independent quadrature."
"Test_Composite.vb","151","Test_Composite_Hazard","Covered","CompositeEngineVerification","Test_CompositeHazard_EngineVsIndependentQuadrature","","Engine-level source configuration verified against independent quadrature."
"Test_Composite.vb","205","Test_Composite_Response","Covered","CompositeEngineVerification","Test_CompositeResponse_EngineVsIndependentQuadrature","","Engine-level source configuration verified against independent quadrature."
"Test_Composite.vb","70","Test_Composite_Consequences_Bootstrap","Covered","CompositeEngineVerification","Test_CompositeConsequenceBootstrap_FullEngineReproducibleAndCentered","","Engine-level source configuration verified against independent quadrature."
"Test_DAMRAE.vb","14","Test_PFM08_OT","BlockedMissingFeature","","","","Requires the future DAMRAE/event-tree integration."
"Test_EventTree.vb","10","TestIO","Covered","EventTreeVerification","Test_LegacyTestIoShape_ConvertsCanonicalAndEqualsAnalytic","","Legacy TestIO recursive Basic shape converted through the v1.1 reader/current writer and verified terminal-for-terminal against an independent analytic oracle."
"Test_EventTree.vb","38","Test_Product","NonOracleWorkbench","","","","Contains no assertion and does not construct EventTreeResponse; it is not a numerical oracle."
"Test_MC_CommonCause.vb","1011","Test_1_Component_5_PFM_CommonCause_Positive","Covered","CommonCauseVerification","Test_5PFM_PerfectlyPositive_VsOracle","","Dependency configuration preserved."
"Test_MC_CommonCause.vb","1161","Test_1_Component_5_PFM_CommonCause_Negative","Covered","CommonCauseVerification","Test_5PFM_PerfectlyNegative_VsOracle","4","Dependency configuration preserved."
"Test_MC_CommonCause.vb","12","Test_1_Component_2_PFM_CCA","Duplicate","CommonCauseVerification","Test_2PFM_Independent_VsOracle","1","Older CCA body duplicates the converted independent common-cause configuration."
"Test_MC_CommonCause.vb","1311","Test_1_Component_5_PFM_CommonCause_Correlation","Covered","CommonCauseVerification","Test_5PFM_CorrelationMatrix_VsOracle","","Dependency configuration preserved."
"Test_MC_CommonCause.vb","151","Test_1_Component_5_PFM_CCA","Duplicate","CommonCauseVerification","Test_5PFM_Independent_VsOracle","3","Older CCA body duplicates the converted independent common-cause configuration."
"Test_MC_CommonCause.vb","302","Test_1_Component_2_PFM_CommonCause_Independent","Covered","CommonCauseVerification","Test_2PFM_Independent_VsOracle","1","Dependency configuration preserved."
"Test_MC_CommonCause.vb","442","Test_1_Component_2_PFM_CommonCause_Positive","Covered","CommonCauseVerification","Test_2PFM_PerfectlyPositive_VsOracle","","Dependency configuration preserved."
"Test_MC_CommonCause.vb","582","Test_1_Component_2_PFM_CommonCause_Negative","Covered","CommonCauseVerification","Test_2PFM_PerfectlyNegative_VsOracle","2","Dependency configuration preserved."
"Test_MC_CommonCause.vb","722","Test_1_Component_2_PFM_CommonCause_Correlation","Covered","CommonCauseVerification","Test_2PFM_CorrelationMatrix_VsOracle","","Dependency configuration preserved."
"Test_MC_CommonCause.vb","862","Test_1_Component_5_PFM_CommonCause_Independent","Covered","CommonCauseVerification","Test_5PFM_Independent_VsOracle","3","Dependency configuration preserved."
"Test_MC_CompetingFailures.vb","12","Test_1_Component_2_PFM_Competing_Independent","Covered","CompetingFailuresVerification","Test_2PFM_Independent_VsOracle","5","Dependency configuration preserved."
"Test_MC_CompetingFailures.vb","146","Test_1_Component_2_PFM_Competing_Positive","Covered","CompetingFailuresVerification","Test_2PFM_PerfectlyPositive_VsOracle","","Dependency configuration preserved."
"Test_MC_CompetingFailures.vb","280","Test_1_Component_2_PFM_Competing_Negative","Covered","CompetingFailuresVerification","Test_2PFM_PerfectlyNegative_VsOracle","","Dependency configuration preserved."
"Test_MC_CompetingFailures.vb","414","Test_1_Component_2_PFM_Competing_Correlation","Covered","CompetingFailuresVerification","Test_2PFM_CorrelationMatrix_VsOracle","","Dependency configuration preserved."
"Test_MC_CompetingFailures.vb","548","Test_1_Component_5_PFM_Competing_Independent","Covered","CompetingFailuresVerification","Test_5PFM_Independent_VsOracle","6","Dependency configuration preserved."
"Test_MC_CompetingFailures.vb","692","Test_1_Component_5_PFM_Competing_Positive","Covered","CompetingFailuresVerification","Test_5PFM_PerfectlyPositive_VsOracle","","Dependency configuration preserved."
"Test_MC_CompetingFailures.vb","852","Test_1_Component_5_PFM_Competing_Negative","Covered","CompetingFailuresVerification","Test_5PFM_PerfectlyNegative_VsOracle","","Dependency configuration preserved."
"Test_MC_CompetingFailures.vb","996","Test_1_Component_5_PFM_Competing_Correlation","Covered","CompetingFailuresVerification","Test_5PFM_CorrelationMatrix_VsOracle","","Dependency configuration preserved."
"Test_MC_JointFailures.vb","1069","Test_1_Component_2_PFM_JointFailures_Negative_Additive","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_PerfectlyNegative_AllRules_VsOracle","11","Additive source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","1201","Test_1_Component_2_PFM_JointFailures_Negative_Average","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_PerfectlyNegative_AllRules_VsOracle","12","Average source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","13","Test_1_Component_2_PFM_JointFailures_Independent_Additive","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_Independent_AllRules_VsOracle","7","Additive source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","1334","Test_1_Component_2_PFM_JointFailures_Negative_Maximum","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_PerfectlyNegative_AllRules_VsOracle","13","Maximum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","145","Test_1_Component_2_PFM_JointFailures_Independent_Average","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_Independent_AllRules_VsOracle","8","Average source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","1467","Test_1_Component_2_PFM_JointFailures_Negative_Minimum","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_PerfectlyNegative_AllRules_VsOracle","14","Minimum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","1600","Test_1_Component_2_PFM_JointFailures_Correlation_Additive","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_CorrelationMatrix_AllRules_VsOracle","","Additive source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","1733","Test_1_Component_2_PFM_JointFailures_Correlation_Average","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_CorrelationMatrix_AllRules_VsOracle","","Average source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","1866","Test_1_Component_2_PFM_JointFailures_Correlation_Maximum","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_CorrelationMatrix_AllRules_VsOracle","","Maximum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","1999","Test_1_Component_2_PFM_JointFailures_Correlation_Minimum","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_CorrelationMatrix_AllRules_VsOracle","","Minimum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","2131","Test_1_Component_5_PFM_JointFailures_Independent_Additive","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_Independent_AllRules_VsOracle","15","Additive source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","2271","Test_1_Component_5_PFM_JointFailures_Independent_Average","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_Independent_AllRules_VsOracle","16","Average source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","2411","Test_1_Component_5_PFM_JointFailures_Independent_Maximum","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_Independent_AllRules_VsOracle","17","Maximum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","2551","Test_1_Component_5_PFM_JointFailures_Independent_Minimum","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_Independent_AllRules_VsOracle","18","Minimum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","2691","Test_1_Component_5_PFM_JointFailures_Positive_Additive","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_PerfectlyPositive_AllRules_VsOracle","","Additive source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","276","Test_1_Component_2_PFM_JointFailures_Independent_Maximum","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_Independent_AllRules_VsOracle","9","Maximum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","2831","Test_1_Component_5_PFM_JointFailures_Positive_Average","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_PerfectlyPositive_AllRules_VsOracle","","Average source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","2971","Test_1_Component_5_PFM_JointFailures_Positive_Maximum","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_PerfectlyPositive_AllRules_VsOracle","","Maximum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","3111","Test_1_Component_5_PFM_JointFailures_Positive_Minimum","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_PerfectlyPositive_AllRules_VsOracle","","Minimum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","3251","Test_1_Component_5_PFM_JointFailures_Negative_Additive","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_PerfectlyNegative_AllRules_VsOracle","19","Additive source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","3391","Test_1_Component_5_PFM_JointFailures_Negative_Average","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_PerfectlyNegative_AllRules_VsOracle","20","Average source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","3531","Test_1_Component_5_PFM_JointFailures_Negative_Maximum","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_PerfectlyNegative_AllRules_VsOracle","21","Maximum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","3671","Test_1_Component_5_PFM_JointFailures_Negative_Minimum","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_PerfectlyNegative_AllRules_VsOracle","22","Minimum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","3811","Test_1_Component_5_PFM_JointFailures_Correlation_Additive","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_CorrelationMatrix_AllRules_VsOracle","","Additive source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","3950","Test_1_Component_5_PFM_JointFailures_Correlation_Average","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_CorrelationMatrix_AllRules_VsOracle","","Average source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","407","Test_1_Component_2_PFM_JointFailures_Independent_Minimum","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_Independent_AllRules_VsOracle","10","Minimum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","4089","Test_1_Component_5_PFM_JointFailures_Correlation_Maximum","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_CorrelationMatrix_AllRules_VsOracle","","Maximum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","4228","Test_1_Component_5_PFM_JointFailures_Correlation_Minimum","ConsolidatedEquivalent","JointFailuresVerification","Test_5PFM_CorrelationMatrix_AllRules_VsOracle","","Minimum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","539","Test_1_Component_2_PFM_JointFailures_Positive_Additive","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_PerfectlyPositive_AllRules_VsOracle","","Additive source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","672","Test_1_Component_2_PFM_JointFailures_Positive_Average","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_PerfectlyPositive_AllRules_VsOracle","","Average source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","804","Test_1_Component_2_PFM_JointFailures_Positive_Maximum","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_PerfectlyPositive_AllRules_VsOracle","","Maximum source body is covered by the consolidated all-rules oracle."
"Test_MC_JointFailures.vb","936","Test_1_Component_2_PFM_JointFailures_Positive_Minimum","ConsolidatedEquivalent","JointFailuresVerification","Test_2PFM_PerfectlyPositive_AllRules_VsOracle","","Minimum source body is covered by the consolidated all-rules oracle."
"Test_MC_MutuallyExclusive.vb","11","Test_1_Component_2_PFM_ME","Covered","MutuallyExclusiveVerification","Test_2PFM_VsOracle","","Mutually-exclusive configuration preserved."
"Test_MC_MutuallyExclusive.vb","150","Test_1_Component_5_PFM_ME","Covered","MutuallyExclusiveVerification","Test_5PFM_VsOracle","","Mutually-exclusive configuration preserved."
"Test_MC_SystemRisk.vb","1097","Test_2_Component_1_PFM_JointFailures_Independent_Minimum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_Independent_AllRules_VsOracle","26","2c1 Minimum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","1240","Test_2_Component_1_PFM_JointFailures_Positive_Additive","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_PerfectlyPositive_AllRules_VsOracle","27","2c1 Additive source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","1384","Test_2_Component_1_PFM_JointFailures_Positive_Average","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_PerfectlyPositive_AllRules_VsOracle","28","2c1 Average source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","14","Test_2_Component_2_PFM_JointFailures_Independent_Additive","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp2Pfm_Independent_Additive_VsOracle","35","2c2 Additive source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","1527","Test_2_Component_1_PFM_JointFailures_Positive_Maximum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_PerfectlyPositive_AllRules_VsOracle","29","2c1 Maximum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","1670","Test_2_Component_1_PFM_JointFailures_Positive_Minimum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_PerfectlyPositive_AllRules_VsOracle","30","2c1 Minimum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","178","Test_2_Component_2_PFM_JointFailures_Positive_Additive","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp2Pfm_PerfectlyPositive_Additive_VsOracle","36","2c2 Additive source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","1814","Test_2_Component_1_PFM_JointFailures_Negative_Additive","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_PerfectlyNegative_AllRules_VsOracle","31","2c1 Additive source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","1957","Test_2_Component_1_PFM_JointFailures_Negative_Average","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_PerfectlyNegative_AllRules_VsOracle","32","2c1 Average source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","2101","Test_2_Component_1_PFM_JointFailures_Negative_Maximum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_PerfectlyNegative_AllRules_VsOracle","33","2c1 Maximum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","2245","Test_2_Component_1_PFM_JointFailures_Negative_Minimum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_PerfectlyNegative_AllRules_VsOracle","34","2c1 Minimum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","2389","Test_2_Component_1_PFM_JointFailures_Correlation_Additive","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_CorrelationMatrix_AllRules_VsOracle","","2c1 Additive source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","2533","Test_2_Component_1_PFM_JointFailures_Correlation_Average","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_CorrelationMatrix_AllRules_VsOracle","","2c1 Average source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","2677","Test_2_Component_1_PFM_JointFailures_Correlation_Maximum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_CorrelationMatrix_AllRules_VsOracle","","2c1 Maximum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","2821","Test_2_Component_1_PFM_JointFailures_Correlation_Minimum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_CorrelationMatrix_AllRules_VsOracle","","2c1 Minimum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","2964","Test_5_Component_1_PFM_JointFailures_Independent_Additive","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_Independent_AllRules_VsOracle","38","5c1 Additive source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","3115","Test_5_Component_1_PFM_JointFailures_Independent_Average","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_Independent_AllRules_VsOracle","39","5c1 Average source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","3266","Test_5_Component_1_PFM_JointFailures_Independent_Maximum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_Independent_AllRules_VsOracle","40","5c1 Maximum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","3417","Test_5_Component_1_PFM_JointFailures_Independent_Minimum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_Independent_AllRules_VsOracle","41","5c1 Minimum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","342","Test_2_Component_2_PFM_JointFailures_Negative_Additive","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp2Pfm_PerfectlyNegative_Additive_VsOracle","37","2c2 Additive source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","3568","Test_5_Component_1_PFM_JointFailures_Positive_Additive","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_PerfectlyPositive_AllRules_VsOracle","42","5c1 Additive source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","3719","Test_5_Component_1_PFM_JointFailures_Positive_Average","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_PerfectlyPositive_AllRules_VsOracle","43","5c1 Average source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","3870","Test_5_Component_1_PFM_JointFailures_Positive_Maximum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_PerfectlyPositive_AllRules_VsOracle","44","5c1 Maximum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","4021","Test_5_Component_1_PFM_JointFailures_Positive_Minimum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_PerfectlyPositive_AllRules_VsOracle","45","5c1 Minimum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","4172","Test_5_Component_1_PFM_JointFailures_Negative_Additive","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_PerfectlyNegative_AllRules_VsOracle","46","5c1 Additive source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","4323","Test_5_Component_1_PFM_JointFailures_Negative_Average","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_PerfectlyNegative_AllRules_VsOracle","47","5c1 Average source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","4474","Test_5_Component_1_PFM_JointFailures_Negative_Maximum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_PerfectlyNegative_AllRules_VsOracle","48","5c1 Maximum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","4625","Test_5_Component_5_PFM_JointFailures_Negative_Minimum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_PerfectlyNegative_AllRules_VsOracle","49","5c1 Minimum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","4776","Test_5_Component_1_PFM_JointFailures_Correlation_Additive","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_CorrelationMatrix_AllRules_VsOracle","","5c1 Additive source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","4926","Test_5_Component_1_PFM_JointFailures_Correlation_Average","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_CorrelationMatrix_AllRules_VsOracle","","5c1 Average source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","506","Test_2_Component_2_PFM_JointFailures_Correlation_Additive","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp2Pfm_CorrelationMatrix_Additive_VsOracle","","2c2 Additive source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","5076","Test_5_Component_1_PFM_JointFailures_Correlation_Maximum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_CorrelationMatrix_AllRules_VsOracle","","5c1 Maximum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","5226","Test_5_Component_1_PFM_JointFailures_Correlation_Minimum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_5Comp1Pfm_CorrelationMatrix_AllRules_VsOracle","","5c1 Minimum source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","670","Test_2_Component_1_PFM_JointFailures_Independent_Additive","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_Independent_AllRules_VsOracle","23","2c1 Additive source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","813","Test_2_Component_1_PFM_JointFailures_Independent_Average","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_Independent_AllRules_VsOracle","24","2c1 Average source body is covered by the consolidated dependency test."
"Test_MC_SystemRisk.vb","955","Test_2_Component_1_PFM_JointFailures_Independent_Maximum","ConsolidatedEquivalent","SystemRiskMatrixVerification","Test_2Comp1Pfm_Independent_AllRules_VsOracle","25","2c1 Maximum source body is covered by the consolidated dependency test."
"Test_RiskAnalysis.vb","1040","Test_2Element_2PFM","Duplicate","SystemRiskMatrixVerification","Test_2Comp2Pfm_Independent_Additive_VsOracle","","Byte-identical two-component/two-mode source body."
"Test_RiskAnalysis.vb","1182","Test_3Element_1PFM","Covered","RiskAnalysisCombosVerification","Test_3Comp1Pfm_PerfectlyNegative_VsOracle","","Intermediate component dimension."
"Test_RiskAnalysis.vb","1290","Test_4Element_1PFM","Covered","RiskAnalysisCombosVerification","Test_4Comp1Pfm_PerfectlyNegative_VsOracle","","Intermediate component dimension."
"Test_RiskAnalysis.vb","1401","Test_5Element_1PFM","Duplicate","SystemRiskMatrixVerification","Test_5Comp1Pfm_PerfectlyNegative_AllRules_VsOracle","","Equivalent five-component negative scenario."
"Test_RiskAnalysis.vb","1585","Test_2Element_1PFM_New","Duplicate","SystemRiskMatrixVerification","Test_2Comp1Pfm_Independent_AllRules_VsOracle","","Alternate workbench form of the two-component model."
"Test_RiskAnalysis.vb","167","Test_1Element_2PFM_Adaptive","NonOracleWorkbench","","","","Debugger-only adaptive-integration workbench; its identities are covered elsewhere."
"Test_RiskAnalysis.vb","1743","Test_5Element_1PFM_2","Covered","RiskAnalysisCombosVerification","Test_2Comp_NegativeQuarterCorrelation_Average_VsOracle","","Body computes the two-component negative-quarter-correlation case."
"Test_RiskAnalysis.vb","1990","Test_NFIP_Assurance_TOL_50","Covered","NfipAssuranceVerification","Test_Tol50_Api_VsOracleExactAndReport","","Active NFIP assurance configuration."
